PoliticalEventKey,CountryKey,MonthKey,SumEvents,TotalEvents,NormalizedEvents1000,EventRootCode,EventRootDescr,EventCode,EventDescr,GoldsteinScale,AvgNumMentions,SumNumMentions,AvgAvgTone
70,COD,12,44,5722,7.689619014330653,18,ASSAULT,180,"Use unconventional violence, not specified below",-9.0,5.0227272727272725,221,4.793542829397487
71,COD,12,47,5722,8.213911219853196,19,FIGHT,192,Occupy territory,-9.5,3.340425531914893,157,3.5828959286312654
72,COD,12,41,5722,7.165326808808109,17,COERCE,172,"Impose administrative sanctions, not specified below",-5.0,3.853658536585367,158,3.8272508877096985
73,COD,12,25,5722,4.369101712687872,18,ASSAULT,186,Assassinate ,-10.0,3.2,80,4.073168393756632
74,COD,12,3,5722,0.5242922055225446,17,COERCE,1723,Impose curfew,-5.0,3.0,9,4.41501103752759
75,COD,12,245,5722,42.81719678434114,17,COERCE,173,"Arrest, detain, or charge with legal action ",-5.0,4.6326530612244925,1135,3.9827465943933307
76,COD,12,1,5722,0.17476406850751486,18,ASSAULT,183,"Conduct suicide, car, or other non-military bombing, not spec below",-10.0,5.0,5,3.64372469635628
77,YEM,12,8,8134,0.9835259404966806,17,COERCE,175,Use tactics of violent repression  ,-9.0,6.125,49,3.0784133623830563
78,YEM,12,11,8134,1.352348168182936,19,FIGHT,191,"Impose blockade, restrict movement ",-9.5,3.4545454545454546,38,3.5795332010732928
79,YEM,12,444,8134,54.58568969756578,17,COERCE,173,"Arrest, detain, or charge with legal action ",-5.0,4.84009009009009,2149,3.5881997361231144
80,YEM,12,3,8134,0.3688222276862552,17,COERCE,1711,Confiscate property,-9.2,6.333333333333332,19,2.7961399160559304
81,YEM,12,6,8134,0.7376444553725104,19,FIGHT,195,Employ aerial weapons,-10.0,6.0,36,5.6950884668338295
82,YEM,12,16,8134,1.9670518809933613,17,COERCE,174,Expel or deport individuals,-5.0,4.937500000000001,79,2.633175405303521
83,YEM,12,71,8134,8.728792721908041,18,ASSAULT,181,"Abduct, hijack, or take hostage ",-9.0,4.746478873239434,337,6.4224278171175815
84,YEM,12,15,8134,1.8441111384312758,19,FIGHT,192,Occupy territory,-9.5,5.0,75,4.0734154085324565
85,YEM,12,2,8134,0.24588148512417016,17,COERCE,171,"Seize or damage property, not specified below",-9.2,6.5,13,3.6752447903590246
86,YEM,12,8,8134,0.9835259404966806,18,ASSAULT,183,"Conduct suicide, car, or other non-military bombing, not spec below",-10.0,4.749999999999999,38,2.755165511381759
87,YEM,12,41,8134,5.040570445045487,17,COERCE,172,"Impose administrative sanctions, not specified below",-5.0,4.1707317073170715,171,3.6278449943902498
88,YEM,12,10,8134,1.2294074256208507,18,ASSAULT,182,"Physically assault, not specified below",-9.5,5.1,51,3.4831045599497807
89,YEM,12,1,8134,0.12294074256208508,18,ASSAULT,1823,Kill by physical assault,-10.0,2.0,2,1.81159420289855
90,YEM,12,1,8134,0.12294074256208508,18,ASSAULT,1821,Sexually assault,-9.0,3.0,3,4.23076923076923
91,YEM,12,3,8134,0.3688222276862552,17,COERCE,1721,Impose restrictions on political freedoms  ,-5.0,8.33333333333333,25,7.0011732276607175
92,YEM,12,15,8134,1.8441111384312758,18,ASSAULT,1831,Carry out suicide bombing,-10.0,5.933333333333333,89,5.311769370366017
93,YEM,12,508,8134,62.45389722153922,19,FIGHT,190,"Use conventional military force, not specified below",-10.0,6.206692913385826,3153,3.2005788033431237
94,YEM,12,10,8134,1.2294074256208507,18,ASSAULT,1822,Torture,-9.0,2.7,27,5.394957121783078
