Country Name,"Age dependency ratio, young","GNI per capita, Atlas method (current US$)",Human capital index (HCI) (scale 0-1),"Human capital index (HCI), lower bound (scale 0-1)","Human capital index (HCI), upper bound (scale 0-1)",People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),"Population ages 00-04, female (% of female population)","Population ages 00-04, male (% of male population)",Population ages 0-14 (% of total population),"Population ages 0-14, female (% of female population)","Population ages 0-14, male (% of male population)","Population ages 05-09, male (% of male population)","Population ages 10-14, female (% of female population)","Population ages 10-14, male (% of male population)","Population ages 15-19, female (% of female population)","Population ages 15-19, male (% of male population)","Population ages 20-24, female (% of female population)","Population ages 20-24, male (% of male population)","Population ages 45-49, male (% of male population)","Population ages 50-54, male (% of male population)","Population ages 55-59, male (% of male population)","Tuberculosis death rate (per 100,000 people)",Urban population growth (annual %),transformed_High income,transformed_Low income,transformed_Lower middle income,transformed_Upper middle income,hdi
Malawi,79.0783564423532,580.0,0.413240641355515,0.395300924777985,0.429228365421295,70.04772851,26.55426445,14.923084126742802,15.6562137714745,42.9920576904741,42.07026090773461,43.9394397117586,14.645066581782501,13.15206048566,13.638159358501598,11.2231972258841,11.5329100362867,9.53782818707831,9.687655454393491,3.2272928333861697,2.40398675561692,1.7747969400586399,14.0,4.117354702418161,0,1,0,0,0.485
Malaysia,33.8024067566527,10570.0,0.6109761595726011,0.6010172963142401,0.62073016166687,97.09990707,0.0,8.1259356022824,8.15642626731477,23.448119120315102,23.4067600730465,23.4872342079729,7.76554940519144,7.5490818824182915,7.56525853546667,8.21820652251626,8.27736443191322,8.829213002579891,8.861647353018759,5.85765109619115,5.05399224920634,4.584063328714,4.8,2.0135574196988504,0,0,0,1,0.804
Maldives,25.5182779226973,6490.0,0.0,0.0,0.0,99.54443859999999,99.15533568,8.6957401803516,5.3640997527177685,19.5996995619228,25.950084508182602,15.9406639294546,5.632960854756679,8.183630714423069,4.94360332198012,6.47221350714018,3.94339336537116,7.56221725181414,10.529615546120501,4.913567862641719,3.11581439835767,2.17275929641208,2.5,2.8547727482332004,0,0,0,1,0.7190000000000001
Mali,93.05510751899841,830.0,0.318269580602646,0.30681523680687,0.328763157129288,82.54729103,45.39420987,17.534549945278197,18.0729477877856,47.0073008848574,46.304674805999795,47.707195559188996,15.8122965658351,13.426050351981,13.821951205568302,10.979589655697902,11.245248233297902,8.707397636571981,8.832110715893087,3.17037440658977,2.29946770750309,1.63510256206547,6.9,4.74718330919958,0,1,0,0,0.4270000000000001
Malta,22.3536726174616,25370.0,0.709248304367065,0.702540516853333,0.715682506561279,100.0000004,99.96447143,4.7837760484101794,5.032969018155541,14.373911487669401,13.931555204230401,14.813928281094801,5.02122662812754,4.4639490457434405,4.75973263481167,4.56707508211467,4.7461837232409,5.51338139824368,5.832354800830999,6.561737873724152,5.751964592177759,6.39960256526059,0.23,4.19381354360654,1,0,0,0,0.885
Marshall Islands,0.0,4940.0,0.4233981370925901,0.403989374637604,0.44079652428627,88.57204698,84.15036532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1.1686076001902,0,0,0,1,0.698
Mauritania,69.4559897736948,1670.0,0.38154608011245705,0.34517124295234697,0.405886620283127,71.68104923,49.83422278,14.6270389976321,15.0453044371667,39.68509081743221,39.2149840215425,40.1511190026814,13.4407089393875,11.449362957023402,11.6651056261271,10.0180629797912,10.2045798231335,8.86900516227088,9.029538141852118,4.00641375668581,3.13959728151963,2.41787834676171,15.0,4.19541145295883,0,0,1,0,0.527
Mauritius,23.7424230232808,10230.0,0.62185925245285,0.604988753795624,0.6395822167396551,99.8662547,0.0,4.873294044424299,5.20335309491936,16.7847437582955,16.247107267413398,17.336648180021697,5.589978963472941,6.1336019506834685,6.54331612162938,7.20300114700436,7.67833237712756,7.234819265327411,7.569643653981,6.628418435647348,6.763562185248929,7.0561611525467,1.4,-0.01240435084196,0,0,0,1,0.7959999999999999
Mexico,38.8228001679666,8480.0,0.6129498481750489,0.604578197002411,0.621053159236908,99.67956828,92.42406261,8.12914971708637,8.886394400157311,25.835265458110598,24.7198615234657,27.000012335209604,9.0876343075221,8.27200606389792,9.025983627530199,8.37302446671729,9.02945746355175,8.25167544985128,8.72844663910408,5.997589782489031,5.1307559171826105,4.3482263918754,1.7,1.4143747761486,0,0,0,1,0.767
"Micronesia, Fed. Sts.",48.4229279419108,3950.0,0.505966544151306,0.470419675111771,0.529178023338318,0.0,0.0,10.5587096089563,10.764363885088901,31.1928918564113,30.9368422914345,31.438098495212003,10.384746922024599,10.2792663730744,10.2889876880985,9.83357209812348,10.106019151846802,9.97683097221485,10.2718878248974,4.56908344733242,4.225376196990419,4.020177838577291,8.2,1.5857881840925905,0,0,1,0,0.614
Moldova,22.1846338616011,4560.0,0.5841535329818729,0.5746731758117679,0.5929018259048461,90.56996224,78.72914055,4.6891308794915405,5.38077272066142,15.8883212364615,14.808302529483699,17.063355060915,5.917017650015299,5.01814929519841,5.765564690238321,4.65268956855581,5.41503856460276,5.61500658893155,6.371273007159081,6.53789196735117,5.6888029884785,6.71734767874788,5.3,-1.3956493481058299,0,0,0,1,0.711
Mongolia,48.135439865055,3740.0,0.6143975257873541,0.5966362953186041,0.630410850048065,85.49562527,67.74079142,11.1371511129095,11.778105668036499,31.092947847810887,30.2700190530244,31.940343236293398,11.3433793239668,8.381947905700459,8.81885824429008,6.51308009064165,6.82788465170191,6.82836585895231,7.115989149488031,6.0527950099037895,4.949663754249901,4.11352295517322,9.8,1.79997565975672,0,0,1,0,0.735
Montenegro,27.264083265445105,7900.0,0.633181810379028,0.624314546585083,0.640698492527008,98.85691652,97.77177272,5.60033259947276,6.15817080592344,18.0449188461085,17.104620801955303,19.005805585340198,6.2019622427655605,5.90553041111941,6.64567253665118,5.87025470946365,6.60413507082299,6.23435034441054,6.91453907902745,6.4054636257377675,6.05481013514166,6.70137782028123,0.23,0.38590297102608395,0,0,0,1,0.816
Morocco,40.7890940922824,2980.0,0.5041163563728329,0.49341303110122703,0.5138836503028871,90.40234468,87.25043077,8.705693458811881,9.31561132631325,26.767992682852807,25.869899494295698,27.6796706776648,9.59634134337347,8.183591072467621,8.7677180079781,7.80416088893904,8.29023512565208,7.57635218994679,8.001479727423119,5.323830408518651,5.0008497622985795,4.930586731249691,10.0,2.04634643399117,0,0,1,0,0.6759999999999999
Mozambique,83.0192496291054,460.0,0.36211666464805603,0.343050569295883,0.37738421559333796,63.36942563,37.20486798,15.9690425214101,17.058269114219,44.062787799945795,42.7389090818562,45.4632944512644,15.0638174876804,12.621626667994402,13.341207849365,11.084557359091802,11.5895230749327,9.1690773750249,9.47669693022264,2.9231572990541697,2.16918555711049,1.7306816756522398,20.0,4.370514835054951,0,1,0,0,0.446
Myanmar,37.326042153543,1350.0,0.477652013301849,0.45909866690635703,0.494243919849396,83.71819191,73.63687714,7.9177274004984275,8.68254577865378,25.4855945068719,24.426515533882604,26.624227360671306,8.663720590888161,8.55883253982567,9.27796099112935,8.97708247338274,9.68963230243564,8.48711815887871,9.02558677111035,6.21065293577201,5.36762700804228,4.3191716002058,33.0,1.6043012848037401,0,0,1,0,0.584
